date,region,segment,plan,channel,active_customers,new_customers,churned_customers,monthly_revenue,discount_rate,support_tickets,avg_response_time_hours,nps_score
2025-01-01,north_america,startup,starter,organic,175,11,7,12189.45,0.066,15,7.37,21
2025-01-01,north_america,startup,starter,paid_search,191,11,8,13716.99,0.037,28,4.85,26
2025-01-01,north_america,startup,starter,partner,204,13,9,14985.3,0.015,36,7.56,23
2025-01-01,north_america,startup,starter,sales_outbound,218,13,11,14810.64,0.089,18,6.26,28
2025-01-01,north_america,startup,growth,organic,392,22,18,66232.08,0.056,26,5.14,27
2025-01-01,north_america,startup,growth,paid_search,455,34,20,75410.65,0.074,32,6.9,28
2025-01-01,north_america,startup,growth,partner,504,38,26,90207.13,0.0,44,1.23,34
2025-01-01,north_america,startup,growth,sales_outbound,548,39,27,88274.12,0.1,63,6.8,28
2025-01-01,north_america,startup,enterprise,organic,937,61,40,390700.26,0.036,129,4.02,33
2025-01-01,north_america,startup,enterprise,paid_search,1083,61,56,431903.23,0.078,137,3.96,35
2025-01-01,north_america,startup,enterprise,partner,1251,89,53,528663.04,0.023,124,6.43,29
2025-01-01,north_america,startup,enterprise,sales_outbound,1318,95,62,518210.7,0.091,160,2.35,39
2025-01-01,north_america,mid_market,starter,organic,103,5,3,12017.44,0.106,17,8.17,32
2025-01-01,north_america,mid_market,starter,paid_search,135,8,4,16350.04,0.072,19,6.16,37
2025-01-01,north_america,mid_market,starter,partner,128,8,3,16370.92,0.02,23,7.52,28
2025-01-01,north_america,mid_market,starter,sales_outbound,149,7,4,17540.01,0.098,24,6.59,25
2025-01-01,north_america,mid_market,growth,organic,272,12,9,84343.67,0.01,35,3.3,39
2025-01-01,north_america,mid_market,growth,paid_search,308,20,12,91551.47,0.051,42,2.81,36
2025-01-01,north_america,mid_market,growth,partner,346,23,12,102413.28,0.055,26,4.63,42
2025-01-01,north_america,mid_market,growth,sales_outbound,386,24,15,108933.25,0.099,39,6.36,39
2025-01-01,north_america,mid_market,enterprise,organic,670,37,22,489403.69,0.035,94,7.22,38
2025-01-01,north_america,mid_market,enterprise,paid_search,740,39,25,558459.91,0.003,65,6.09,39
2025-01-01,north_america,mid_market,enterprise,partner,813,35,26,585242.95,0.049,87,7.32,41
2025-01-01,north_america,mid_market,enterprise,sales_outbound,894,39,26,620543.14,0.083,90,4.13,49
2025-01-01,north_america,enterprise,starter,organic,50,3,1,14467.74,0.03,5,6.29,45
2025-01-01,north_america,enterprise,starter,paid_search,65,3,1,18226.37,0.06,11,9.15,44
2025-01-01,north_america,enterprise,starter,partner,66,3,2,19038.36,0.033,6,8.03,46
2025-01-01,north_america,enterprise,starter,sales_outbound,73,3,2,19772.78,0.092,6,8.34,34
2025-01-01,north_america,enterprise,growth,organic,134,6,2,90082.56,0.061,8,4.52,44
2025-01-01,north_america,enterprise,growth,paid_search,143,7,4,96644.77,0.056,10,5.69,45
2025-01-01,north_america,enterprise,growth,partner,169,6,4,118572.26,0.02,20,4.87,40
2025-01-01,north_america,enterprise,growth,sales_outbound,168,6,2,110533.8,0.081,20,5.47,48
2025-01-01,north_america,enterprise,enterprise,organic,324,17,6,533104.81,0.049,19,2.16,55
2025-01-01,north_america,enterprise,enterprise,paid_search,364,18,7,602069.11,0.044,51,3.07,52
2025-01-01,north_america,enterprise,enterprise,partner,391,18,8,647404.58,0.043,32,4.38,59
2025-01-01,north_america,enterprise,enterprise,sales_outbound,413,14,9,644530.78,0.098,39,7.04,46
2025-01-01,emea,startup,starter,organic,149,10,6,9021.29,0.042,20,6.54,26
2025-01-01,emea,startup,starter,paid_search,162,10,7,9746.96,0.048,20,6.03,26
2025-01-01,emea,startup,starter,partner,188,13,9,11465.74,0.035,26,8.27,23
